variable,question,module,health_care_experience,coding
g4_08,Does the household have a separate room for cooking?,General,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
g5_01d,When was the deceased born? [day],General,0,"99 ""Don't Know"""
g5_01m,When was the deceased born? [month],General,0,"1 ""January"" 2 ""February"" 3 ""March"" 4 ""April"" 5 ""May"" 6 ""June"" 7 ""July"" 8 ""August"" 9 ""September"" 10 ""October"" 11"" November"" 12 ""December"" 99 ""Don't Know"""
g5_01y,When was the deceased born? [year],General,0,"9999 ""Don't Know"""
g5_02,What was the sex of the deceased?,General,0,"1 ""Male"" 2 ""Female"" 8 ""Refused to Answer"" 9 ""Don't Know"""
g5_03d,When did he/she die? [day],General,0,"99 ""Don't Know"""
g5_03m,When did he/she die? [month],General,0,"1 ""January"" 2 ""February"" 3 ""March"" 4 ""April"" 5 ""May"" 6 ""June"" 7 ""July"" 8 ""August"" 9 ""September"" 10 ""October"" 11"" November"" 12 ""December"" 99 ""Don't Know"""
g5_03y,When did he/she die? [year],General,0,"9999 ""Don't Know"""
g5_04a,What was the last known age of the deceased? [years],General,0,"999 ""Don't Know"""
g5_04b,What was the last known age of the deceased? [months],General,0,"99 ""Don't Know"""
g5_04c,What was the last known age of the deceased? [days],General,0,"99 ""Don't Know"""
g5_05,What was the marital status of deceased?,General,0,"1 ""Never Married"" 2 ""Married"" 3 ""Separated"" 4 ""Divorced"" 5 ""Widowed"" 8 ""No Data"" 9 ""Unknown"""
g5_06a,What was the last known level of education of deceased?,General,0,"1 ""No Schooling"" 2 ""Primary School"" 3 ""High School"" 4 ""College or Higher"" 9 ""Unknown"""
g5_06b,Number of years of education completed,General,0,"99 ""Don't Know"""
g5_07,Are there other people present during the interview?,General,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
g5_08,How many people are present during the interview?,General,0,
a1_01_1,Did Decedent Have Asthma?,Adult,1,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a1_01_2,Did Decedent Have Arthritis?,Adult,1,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a1_01_3,Did Decedent Have Cancer?,Adult,1,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a1_01_4,Did Decedent Have COPD?,Adult,1,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a1_01_5,Did Decedent Have Dementia?,Adult,1,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a1_01_6,Did Decedent Have Depression?,Adult,1,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a1_01_7,Did Decedent Have Diabetes?,Adult,1,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a1_01_8,Did Decedent Have Epilepsy?,Adult,1,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a1_01_9,Did Decedent Have Heart Disease?,Adult,1,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a1_01_10,Did Decedent Have Hypertension?,Adult,1,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a1_01_11,Did Decedent Have Obesity?,Adult,1,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a1_01_12,Did Decedent Have Stroke?,Adult,1,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a1_01_13,Did Decedent Have TB?,Adult,1,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a1_01_14,Did Decedent Have AIDS?,Adult,1,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_01a,For how long was [name] ill before s/he died? [specify units],Adult,0,"1 ""Years"" 2 ""Months"" 3 ""Weeks"" 4 ""Days"" 5 ""Hours"" 6 ""Minutes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_01b,For how long was [name] ill before s/he died?,Adult,0,
a2_02,Did [name] have a fever?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_03a,How many days did the fever last? [specify units],Adult,0,"1 ""Years"" 2 ""Months"" 3 ""Weeks"" 4 ""Days"" 5 ""Hours"" 6 ""Minutes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_03b,How many days did the fever last?,Adult,0,
a2_04,How severe was the fever?,Adult,0,"1 ""Mild"" 2 ""Moderate"" 3 ""Severe"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_05,What was the pattern of fever?,Adult,0,"1 ""Continuous"" 2 ""On and Off"" 3 ""Only at Night"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_06,Did [name] have sweating with the fever?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_07,Did [name] have a rash?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_08a,How many days did [name] have the rash? [specify units],Adult,0,"1 ""Years"" 2 ""Months"" 3 ""Weeks"" 4 ""Days"" 5 ""Hours"" 6 ""Minutes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_08b,How many days did [name] have the rash?,Adult,0,
a2_09_1a,Where was the rash located?,Adult,0,"1 ""Face"" 2 ""Trunk"" 3 ""Extremities"" 4 ""Everywhere"" 5 ""Other"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_09_1b,"Where was the rash located? [other location, specified]",Adult,0,
a2_09_2a,Where was the rash located?,Adult,0,"1 ""Face"" 2 ""Trunk"" 3 ""Extremities"" 4 ""Everywhere"" 5 ""Other"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_09_2b,"Where was the rash located? [other location, specified]",Adult,0,
a2_10,Did [name] have sores?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_11,Did the sores have clear fluid or pus?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_12,Did [name] have itching of skin?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_13,Did [name] have an ulcer (pit) on the foot?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_14,Did the ulcer ooze pus?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_15a,For how many days did the ulcer ooze pus? [specify units],Adult,0,"1 ""Years"" 2 ""Months"" 3 ""Weeks"" 4 ""Days"" 5 ""Hours"" 6 ""Minutes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_15b,For how many days did the ulcer ooze pus?,Adult,0,
a2_16,Did [name] experience 'pins and needles' in their feet?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_17,Did [name] have blue lips?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_18,Had [name] lost weight in the three months prior to death?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_19,How substantial was the loss of weight?,Adult,0,"1 ""Slight"" 2 ""Moderate"" 3 ""Large"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_20,Did [name] look pale?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_21,Did [name] have yellow discoloration of the eyes?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_22a,For how long did [name] have the yellow discoloration? [specify units],Adult,0,"1 ""Years"" 2 ""Months"" 3 ""Weeks"" 4 ""Days"" 5 ""Hours"" 6 ""Minutes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_22b,For how long did [name] have the yellow discoloration?,Adult,0,
a2_23,Did [name] have ankle swelling?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_24a,For how long did [name] have ankle swelling? [specify units],Adult,0,"1 ""Years"" 2 ""Months"" 3 ""Weeks"" 4 ""Days"" 5 ""Hours"" 6 ""Minutes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_24b,For how long did [name] have ankle swelling?,Adult,0,
a2_25,Did [name] have puffiness of the face?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_26a,For how long did [name] have puffiness of the face? [specify units],Adult,0,"1 ""Years"" 2 ""Months"" 3 ""Weeks"" 4 ""Days"" 5 ""Hours"" 6 ""Minutes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_26b,For how long did [name] have puffiness of the face?,Adult,0,
a2_27,Did [name] have general puffiness all over his/her body?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_28a,For how long did [name] have puffiness all over his/her body? [specify units],Adult,0,"1 ""Years"" 2 ""Months"" 3 ""Weeks"" 4 ""Days"" 5 ""Hours"" 6 ""Minutes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_28b,For how long did [name] have puffiness all over his/her body?,Adult,0,
a2_29,Did [name] have a lump in the neck?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_30,Did [name] have a lump in the armpit?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_31,Did [name] have a lump in the groin?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_32,Did [name] have a cough?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_33a,For how long did [name] have a cough? [specify units],Adult,0,"1 ""Years"" 2 ""Months"" 3 ""Weeks"" 4 ""Days"" 5 ""Hours"" 6 ""Minutes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_33b,For how long did [name] have a cough?,Adult,0,
a2_34,Did the cough produce sputum?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_35,Did [name] cough blood?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_36,Did [name] have difficulty breathing?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_37a,For how long did [name] have difficulty breathing? [specify units],Adult,0,"1 ""Years"" 2 ""Months"" 3 ""Weeks"" 4 ""Days"" 5 ""Hours"" 6 ""Minutes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_37b,For how long did [name] have difficulty breathing?,Adult,0,
a2_38,Was the difficulty continuous or on and off?,Adult,0,"1 ""Continuous"" 2 ""On and Off"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_39_1,In what position did the difficulty get worse?,Adult,0,"1 ""Lying"" 2 ""Sitting"" 3 ""Walking/Exertion"" 4 ""Didn't matter"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_39_2,In what position did the difficulty get worse?,Adult,0,"1 ""Lying"" 2 ""Sitting"" 3 ""Walking/Exertion"" 4 ""Didn't matter"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_40,Did [name] have fast breathing?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_41a,For how long did [name] have fast breathing? [specify units],Adult,0,"1 ""Years"" 2 ""Months"" 3 ""Weeks"" 4 ""Days"" 5 ""Hours"" 6 ""Minutes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_41b,For how long did [name] have fast breathing?,Adult,0,
a2_42,Did [name] wheeze?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_43,Did [name] experience pain in the chest in the month preceding death?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_44,How long did the pain last?,Adult,0,"1 ""<30 minutes"" 2 ""0.5-24 hours"" 3 "">24 hr"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_45,Was the pain during physical activity?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_46a,Where was the pain located?,Adult,0,"1 ""Upper/middle chest"" 2 ""Lower chest"" 3 ""Left Arm"" 4 ""Other"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_46b,"Where was the pain located? [other, specified]",Adult,0,
a2_47,Did [name] have more frequent loose or liquid stools than usual?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_48a,For how long before death did [name] have loose or liquid stools? [specify units],Adult,0,"1 ""Years"" 2 ""Months"" 3 ""Weeks"" 4 ""Days"" 5 ""Hours"" 6 ""Minutes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_48b,For how long before death did [name] have loose or liquid stools?,Adult,0,
a2_49,Did [name] have a change in bowel habits?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_50,Was there blood in the stool?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_51,Was there blood in the stool up until death?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_52,Did [name] stop urinating?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_53,Did [name] vomit in the week preceding the death?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_54a,For how long before death did [name] vomit? [specify units],Adult,0,"1 ""Years"" 2 ""Months"" 3 ""Weeks"" 4 ""Days"" 5 ""Hours"" 6 ""Minutes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_54b,For how long before death did [name] vomit?,Adult,0,
a2_55,Was there blood in the vomit?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_56,Was the vomit black?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_57,Did [name] have difficulty swallowing?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_58a,For how long before death did [name] have difficulty swallowing? [specify units],Adult,0,"1 ""Years"" 2 ""Months"" 3 ""Weeks"" 4 ""Days"" 5 ""Hours"" 6 ""Minutes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_58b,For how long before death did [name] have difficulty swallowing?,Adult,0,
a2_59,"Was the difficulty with swallowing with solids, liquids, or both?",Adult,0,"1 ""Solids"" 2 ""Liquids"" 3 ""Both"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_60,Did [name] have pain upon swallowing?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_61,Did [name] have belly pain?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_62a,For how long before death did [name] have belly pain? [specify units],Adult,0,"1 ""Years"" 2 ""Months"" 3 ""Weeks"" 4 ""Days"" 5 ""Hours"" 6 ""Minutes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_62b,For how long before death did [name] have belly pain?,Adult,0,
a2_63_1,Was the pain in the upper or lower belly?,Adult,0,"1 ""Upper belly"" 2 ""Lower belly"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_63_2,Was the pain in the upper or lower belly?,Adult,0,"1 ""Upper belly"" 2 ""Lower belly"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_64,Did [name] have a more than usual protruding belly?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_65a,For how long before death did [name] have a protruding belly? [specify units],Adult,0,"1 ""Years"" 2 ""Months"" 3 ""Weeks"" 4 ""Days"" 5 ""Hours"" 6 ""Minutes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_65b,For how long before death did [name] have a protruding belly?,Adult,0,
a2_66,How rapidly did [name] develop the protruding belly?,Adult,0,"1 ""Rapidly/Fast"" 2 ""Slow(ly)"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_67,Did [name] have any mass in the belly?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_68a,For how long before death did [name] have a mass in the belly [specify units],Adult,0,"1 ""Years"" 2 ""Months"" 3 ""Weeks"" 4 ""Days"" 5 ""Hours"" 6 ""Minutes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_68b,For how long before death did [name] have a mass in the belly,Adult,0,
a2_69,Did [name] have headaches?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_70a,For how long before death did [name] have headaches? [specify units],Adult,0,"1 ""Years"" 2 ""Months"" 3 ""Weeks"" 4 ""Days"" 5 ""Hours"" 6 ""Minutes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_70b,For how long before death did [name] have headaches?,Adult,0,
a2_71,Was the onset of the headache fast or slow?,Adult,0,"1 ""Rapidly/Fast"" 2 ""Slow(ly)"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_72,Did [name] have a stiff neck?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_73a,For how long before death did [name] have stiff neck? [specify units],Adult,0,"1 ""Years"" 2 ""Months"" 3 ""Weeks"" 4 ""Days"" 5 ""Hours"" 6 ""Minutes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_73b,For how long before death did [name] have stiff neck?,Adult,0,
a2_74,Did [name] experience a period of loss of consciousness?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_75,Did the period of loss of consciousness start suddenly or slowly?,Adult,0,"1 ""Suddenly"" 2 ""Slowly"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_76a,For how long did the period of loss of consciousness last? [specify units],Adult,0,"1 ""Years"" 2 ""Months"" 3 ""Weeks"" 4 ""Days"" 5 ""Hours"" 6 ""Minutes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_76b,For how long did the period of loss of consciousness last?,Adult,0,
a2_77,Did it continue until death?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_78,Did [name] experience a period of confusion at any time in the three months prior to death?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_79a,For how long did the period of confusion last? [specify units],Adult,0,"1 ""Years"" 2 ""Months"" 3 ""Weeks"" 4 ""Days"" 5 ""Hours"" 6 ""Minutes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_79b,For how long did the period of confusion last?,Adult,0,
a2_80,Did the period of confusion start suddenly or slowly?,Adult,0,"1 ""Suddenly"" 2 ""Slowly"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_81,Did [name] experience memory loss at any time in the three months prior to death?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_82,Did [name] have convulsions?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_83a,For how long before death did the convulsions last? [specify units],Adult,0,"1 ""Years"" 2 ""Months"" 3 ""Weeks"" 4 ""Days"" 5 ""Hours"" 6 ""Minutes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_83b,For how long before death did the convulsions last?,Adult,0,
a2_84,Did the person become unconscious immediately after the convulsions?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_85,Was [name] in any way paralyzed?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_86a,For how long before death did [name] have paralysis? [specify units],Adult,0,"1 ""Years"" 2 ""Months"" 3 ""Weeks"" 4 ""Days"" 5 ""Hours"" 6 ""Minutes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_86b,For how long before death did [name] have paralysis?,Adult,0,
a2_87_1,Paralyzed right side (arm and leg),Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_87_2,Paralyzed left side (arm and leg),Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_87_3,Paralyzed lower part of body,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_87_4,Paralyzed upper part of body,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_87_5,Paralyzed one leg only,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_87_6,Paralyzed one arm only,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_87_7,Paralyzed whole body,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_87_8,Paralyzed refused,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_87_9,Paralyzed don't know,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_87_10a,Paralyzed other,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_87_10b,"Paralyzed other, specify",Adult,0,
a3_01,Did [name] have any swelling or lump in the breast?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a3_02,Did [name] have any ulcers (pits) in the breast?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
